Time,MF_LF,T_CORI,MF_CORI,RHO_CORI,P_DP,Pin_DP,Pout_DP
"14:39:29,2",0.0,24.985919952392578,24.62628936767578,1001.718017578125,,1.1632499694824219,1.1632499694824219
"14:39:29,3",0.0,24.983623504638672,24.593996047973633,1001.6986694335938,,1.1632499694824219,1.1632499694824219
"14:39:29,4",0.0,24.981332778930664,24.564599990844727,1001.5034790039062,,1.1632499694824219,1.1632499694824219
"14:39:29,5",0.0,24.979045867919922,24.530311584472656,1001.691650390625,,1.1632499694824219,1.1632499694824219
"14:39:29,6",0.0,24.992786407470703,24.50029754638672,1001.6863403320312,,1.1632499694824219,1.1632499694824219
"14:39:29,7",0.0,24.983623504638672,24.470340728759766,1001.700439453125,,1.1632499694824219,1.1632499694824219
"14:39:29,8",0.0,24.990495681762695,24.4364070892334,1001.7232666015625,,1.1632499694824219,1.1632499694824219
"14:39:29,9",0.0,24.983623504638672,24.404109954833984,1001.7197875976562,,1.1632499694824219,1.1632499694824219
"14:39:30,0",0.0,24.988208770751953,24.37005615234375,1001.744384765625,,1.1632499694824219,1.1632499694824219
"14:39:30,1",0.0,24.990495681762695,24.337345123291016,1001.5826416015625,,1.1632499694824219,1.1632499694824219
"14:39:30,2",0.0,24.995079040527344,24.30474853515625,1001.8164672851562,,1.1632499694824219,1.1632499694824219
"14:39:30,3",0.0,24.992786407470703,24.272085189819336,1001.797119140625,,1.1632499694824219,1.1632499694824219
"14:39:30,4",0.0,24.99736976623535,24.24074935913086,1001.8164672851562,,1.1632499694824219,1.1632499694824219
