time,MF_LF,T_CORI,MF_CORI,RHO_CORI,P_DP
"12:19:09:46,4",30.141834259033203,22.153636932373047,48.47016906738281,999.7102661132812,18.64331817626953
"12:19:09:46,5",29.7515926361084,22.149137496948242,48.50833511352539,999.7418823242188,18.643342971801758
"12:19:09:46,6",29.3914852142334,22.155885696411133,48.54681396484375,999.70849609375,18.693973541259766
"12:19:09:46,7",28.99915885925293,22.137880325317383,48.60372543334961,999.6223754882812,18.708906173706055
"12:19:09:46,8",28.65784454345703,22.135629653930664,48.659217834472656,999.62939453125,18.719757080078125
"12:19:09:46,9",28.293338775634766,22.135629653930664,48.722198486328125,999.5344848632812,18.71807861328125
"12:19:09:46,0",27.978891372680664,22.137880325317383,48.778648376464844,999.5643310546875,18.722566604614258
"12:19:09:46,1",27.676443099975586,22.12212371826172,48.832759857177734,999.77001953125,18.700443267822266
"12:19:09:46,2",27.352413177490234,22.12662124633789,48.8947639465332,999.5784301757812,18.669218063354492
"12:19:09:46,3",27.069421768188477,22.12662124633789,48.94906234741211,999.7893676757812,18.619640350341797
"12:19:09:46,4",26.792922973632812,22.124374389648438,49.00096130371094,999.6276245117188,18.561546325683594
"12:19:09:46,5",26.492082595825195,22.128875732421875,49.0515251159668,999.6715698242188,18.47296142578125
"12:19:09:46,6",26.226673126220703,22.12662124633789,49.093360900878906,999.6944580078125,18.4210262298584
"12:19:09:46,7",25.93749237060547,22.128875732421875,49.1359977722168,999.5081176757812,18.346342086791992
"12:19:09:46,8",25.682249069213867,22.124374389648438,49.17456817626953,999.53271484375,18.308225631713867
"12:19:09:46,9",25.431400299072266,22.131126403808594,49.21133041381836,999.74365234375,18.280319213867188
"12:19:09:46,0",25.157516479492188,22.113121032714844,49.248416900634766,999.59423828125,18.21309471130371
"12:19:09:46,1",24.915082931518555,22.104114532470703,49.264259338378906,999.6680908203125,18.091066360473633
"12:19:09:46,2",24.67632484436035,22.108619689941406,49.25975799560547,999.7559814453125,17.992094039916992
"12:19:09:46,3",24.415081024169922,22.09961700439453,49.26080322265625,999.5661010742188,17.895427703857422
"12:19:09:46,4",24.18341636657715,22.101865768432617,49.26362991333008,999.6311645507812,17.81830596923828
"12:19:09:46,5",23.929546356201172,22.104114532470703,49.266754150390625,999.5924682617188,17.730552673339844
"12:19:09:46,6",23.704212188720703,22.11762046813965,49.272499084472656,999.7735595703125,17.61879539489746
"12:19:09:46,7",23.457141876220703,22.11086654663086,49.278831481933594,999.5379638671875,17.529211044311523
"12:19:09:46,8",23.237619400024414,22.11762046813965,49.28395462036133,999.5485229492188,17.461103439331055
"12:19:09:46,9",23.02073860168457,22.106367111206055,49.28567886352539,999.5748901367188,17.395294189453125
"12:19:09:46,0",22.78279685974121,22.106367111206055,49.28738021850586,999.6856689453125,17.336688995361328
"12:19:09:46,1",22.571128845214844,22.101865768432617,49.288543701171875,999.6505126953125,17.309722900390625
"12:19:09:46,2",22.361936569213867,22.097362518310547,49.29111099243164,999.6311645507812,17.27146339416504
"12:19:09:46,3",22.132238388061523,22.097362518310547,49.29359436035156,999.7155151367188,17.28207778930664
"12:19:09:46,4",21.92788314819336,22.092863082885742,49.29404067993164,999.6417236328125,17.281667709350586
"12:19:09:46,5",21.703346252441406,22.088359832763672,49.29291915893555,999.6399536132812,17.31777000427246
"12:19:09:46,6",21.50351333618164,22.092863082885742,49.29159927368164,999.63818359375,17.231159210205078
"12:19:09:46,7",21.305740356445312,22.088359832763672,49.25593948364258,999.6627807617188,17.270227432250977
"12:19:09:46,8",21.08831787109375,22.097362518310547,49.246673583984375,999.6364135742188,17.025535583496094
"12:19:09:46,9",20.894821166992188,22.09061622619629,49.15522766113281,999.7542114257812,17.1201171875
"12:19:09:46,0",20.682098388671875,22.09961700439453,49.151859283447266,999.8878173828125,17.215076446533203
"12:19:09:46,1",20.492685317993164,22.08611297607422,49.25068283081055,999.7049560546875,17.109960556030273
"12:19:09:46,2",20.30517578125,22.0838623046875,49.06040954589844,999.7049560546875,17.072765350341797
"12:19:09:46,3",20.098979949951172,22.09061622619629,49.07120132446289,999.8561401367188,17.151607513427734
"12:19:09:46,4",19.915332794189453,22.0838623046875,49.107872009277344,999.7928466796875,17.11876678466797
"12:19:09:46,5",19.73343849182129,22.081607818603516,49.14162063598633,999.7489013671875,17.224838256835938
"12:19:09:46,6",19.533050537109375,22.081607818603516,49.17550277709961,999.7594604492188,17.319679260253906
"12:19:09:46,7",19.353803634643555,22.07935905456543,49.25014114379883,999.7278442382812,17.404024124145508
"12:19:09:46,8",19.157899856567383,22.088359832763672,49.34032440185547,999.8262939453125,17.45304298400879
"12:19:09:46,9",18.98232078552246,22.072608947753906,49.50887680053711,999.7278442382812,17.463232040405273
"12:19:09:46,0",18.779857635498047,22.068111419677734,49.749454498291016,999.7313232421875,17.452302932739258
"12:19:09:46,1",18.545391082763672,22.074861526489258,49.9717903137207,999.6838989257812,17.437397003173828
"12:19:09:46,2",18.337244033813477,22.088359832763672,50.141353607177734,999.6522216796875,17.39351463317871
"12:19:09:46,3",18.6060791015625,22.077112197875977,50.29029846191406,999.6329345703125,17.33675193786621
"12:19:09:46,4",19.326778411865234,22.074861526489258,50.39708709716797,999.6417236328125,17.275453567504883
"12:19:09:46,5",19.826881408691406,22.06360626220703,50.48573684692383,999.7770385742188,17.21380615234375
"12:19:09:46,6",20.314842224121094,22.068111419677734,50.55946731567383,999.9352416992188,17.163755416870117
"12:19:09:46,7",20.71372413635254,22.06360626220703,50.6142578125,999.6944580078125,17.10373306274414
"12:19:09:46,8",21.12270164489746,22.06360626220703,50.652854919433594,999.8367919921875,17.05329132080078
"12:19:09:46,9",21.464580535888672,22.059106826782227,50.6788330078125,999.6487426757812,17.00929069519043
"12:19:09:46,0",21.73615074157715,22.059106826782227,50.681312561035156,999.6575317382812,16.985567092895508
"12:19:09:46,1",21.98340606689453,22.06360626220703,50.663360595703125,999.8807373046875,16.985492706298828
"12:19:09:46,2",22.274444580078125,22.050106048583984,50.65576934814453,999.6539916992188,16.981616973876953
"12:19:09:46,3",22.578426361083984,22.070358276367188,50.65086364746094,999.6539916992188,16.995101928710938
"12:19:09:46,4",22.90880012512207,22.059106826782227,50.647254943847656,999.61181640625,17.025548934936523
"12:19:09:46,5",23.19936752319336,22.056856155395508,50.644142150878906,999.6417236328125,17.065828323364258
"12:19:09:46,6",23.514297485351562,22.054609298706055,50.64087677001953,999.8104248046875,17.091751098632812
"12:19:09:46,7",23.788108825683594,22.054609298706055,50.63782501220703,999.7735595703125,17.11656951904297
"12:19:09:46,8",24.059072494506836,22.04785919189453,50.63481521606445,999.7366333007812,17.13020133972168
"12:19:09:46,9",24.360675811767578,22.054609298706055,50.63185119628906,999.9071044921875,17.120847702026367
"12:19:09:46,0",24.611591339111328,22.04335594177246,50.62797927856445,999.7225341796875,17.08901023864746
"12:19:09:46,1",24.86029052734375,22.04785919189453,50.62339782714844,999.7120361328125,17.0589656829834
"12:19:09:46,2",25.158306121826172,22.056856155395508,50.619895935058594,999.84033203125,17.041200637817383
"12:19:09:46,3",25.43119239807129,22.061357498168945,50.616756439208984,999.7717895507812,17.013757705688477
"12:19:09:46,4",25.735647201538086,22.056856155395508,50.61444091796875,999.7296142578125,16.97719955444336
"12:19:09:46,5",26.003328323364258,22.04785919189453,50.61287307739258,999.7014770507812,16.939311981201172
"12:19:09:46,6",26.252628326416016,22.052356719970703,50.61027526855469,999.6803588867188,16.890117645263672
"12:19:09:46,7",26.527286529541016,22.054609298706055,50.60660934448242,999.9212036132812,16.85879898071289
"12:19:09:46,8",26.87510871887207,22.041105270385742,50.609344482421875,999.85791015625,16.846643447875977
"12:19:09:46,9",27.152118682861328,22.045610427856445,50.611568450927734,999.81396484375,16.768661499023438
"12:19:09:46,0",27.368587493896484,22.03885841369629,50.61001968383789,999.7911376953125,16.712093353271484
"12:19:09:46,1",27.534271240234375,22.03660774230957,50.60371398925781,999.7506713867188,16.70857048034668
"12:19:09:46,2",27.780120849609375,22.03885841369629,50.59804153442383,999.9212036132812,16.722734451293945
"12:19:09:46,3",28.00408935546875,22.041105270385742,50.59226608276367,999.8719482421875,16.665502548217773
"12:19:09:46,4",28.211402893066406,22.027606964111328,50.58559036254883,999.7401123046875,16.64312744140625
"12:19:09:46,5",28.473955154418945,22.04785919189453,50.57951736450195,999.8438720703125,16.590316772460938
"12:19:09:46,6",28.68036651611328,22.045610427856445,50.56905746459961,999.9493408203125,16.51958465576172
"12:19:09:46,7",28.86996841430664,22.045610427856445,50.55791091918945,999.9774780273438,16.477914810180664
"12:19:09:46,8",29.07720184326172,22.03435707092285,50.54775619506836,999.9493408203125,16.501724243164062
"12:19:09:46,0",29.277536392211914,22.03660774230957,50.53596496582031,999.93701171875,16.502098083496094
"12:19:09:46,1",29.498117446899414,22.02985382080078,50.52264404296875,999.9088745117188,16.464967727661133
"12:19:09:46,2",29.702415466308594,22.032108306884766,50.50763702392578,999.9703979492188,16.470720291137695
"12:19:09:46,3",29.936710357666016,22.025358200073242,50.492191314697266,999.9844970703125,16.49187660217285
"12:19:09:46,4",30.142549514770508,22.032108306884766,50.475975036621094,999.79638671875,16.545499801635742
"12:19:09:46,5",30.380338668823242,22.032108306884766,50.46055221557617,999.8245239257812,16.596023559570312
"12:19:09:46,6",30.60513687133789,22.03435707092285,50.44682312011719,999.9475708007812,16.645261764526367
"12:19:09:46,7",30.811050415039062,22.041105270385742,50.43308639526367,999.9317626953125,16.743608474731445
"12:19:09:46,8",31.042953491210938,22.03660774230957,50.41941452026367,999.9757080078125,17.00540542602539
"12:19:09:46,9",31.37704086303711,22.03435707092285,50.414581298828125,999.8702392578125,17.168672561645508
"12:19:09:46,0",31.625812530517578,22.03435707092285,50.412044525146484,1000.0090942382812,17.24024200439453
"12:19:09:46,1",31.851205825805664,22.02310562133789,50.41059112548828,999.8966064453125,17.162696838378906
"12:19:09:46,2",32.03868103027344,22.03435707092285,50.39799499511719,1000.0090942382812,17.138032913208008
"12:19:09:46,3",32.23766326904297,22.02310562133789,50.3840446472168,1000.0003051757812,17.263904571533203
"12:19:09:46,4",32.41614532470703,22.025358200073242,50.38093566894531,1000.0143432617188,17.388700485229492
"12:19:09:46,5",32.59526443481445,22.020854949951172,50.378204345703125,1000.0442504882812,17.468799591064453
"12:19:09:46,6",32.79405975341797,22.020854949951172,50.375301361083984,999.8157348632812,17.513139724731445
"12:19:09:46,7",32.97259521484375,22.02310562133789,50.37281036376953,1000.0530395507812,17.59591293334961
"12:19:09:46,8",33.14986038208008,22.025358200073242,50.37071228027344,1000.0284423828125,17.66867446899414
"12:19:09:46,9",33.345420837402344,22.02985382080078,50.36882019042969,999.9739379882812,17.672100067138672
"12:19:09:46,0",33.519657135009766,22.032108306884766,50.36677932739258,999.9563598632812,17.791942596435547
"12:19:09:46,1",33.71144104003906,22.027606964111328,50.365203857421875,999.8069458007812,17.816925048828125
"12:19:09:46,2",33.88233184814453,22.02985382080078,50.3633918762207,999.99853515625,17.815059661865234
"12:19:09:46,3",34.05170440673828,22.027606964111328,50.361568450927734,1000.01611328125,17.712942123413086
"12:19:09:46,4",34.23786926269531,22.027606964111328,50.359683990478516,999.9176635742188,17.60382843017578
"12:19:09:46,5",34.403472900390625,22.002859115600586,50.35814666748047,999.9703979492188,17.520160675048828
"12:19:09:46,6",34.56756591796875,22.011857986450195,50.35594177246094,999.99853515625,17.435510635375977
"12:19:09:46,7",34.74812698364258,22.011857986450195,50.35375213623047,999.7858276367188,17.374982833862305
"12:19:09:46,8",34.908851623535156,22.016361236572266,50.35215377807617,999.8016357421875,17.333274841308594
"12:19:09:46,9",35.085758209228516,22.011857986450195,50.35091018676758,999.8526611328125,17.10725212097168
"12:19:09:46,0",35.24357223510742,22.01860809326172,50.34889602661133,999.8860473632812,16.9460506439209
"12:19:09:46,1",35.416969299316406,22.011857986450195,50.346195220947266,999.7823486328125,16.927825927734375
"12:19:09:46,2",35.57161331176758,22.02310562133789,50.343116760253906,999.9440307617188,16.936511993408203
"12:19:09:46,3",35.72511672973633,22.020854949951172,50.339561462402344,999.9598999023438,16.920055389404297
"12:19:09:46,4",35.89483642578125,22.01860809326172,50.3355598449707,1000.0196533203125,16.875429153442383
"12:19:09:46,5",36.044883728027344,22.016361236572266,50.331485748291016,1000.0706176757812,16.73164939880371
"12:19:09:46,6",36.19501495361328,22.00960922241211,50.32693862915039,999.8104248046875,16.441816329956055
"12:19:09:46,7",36.35996627807617,22.005107879638672,50.32181167602539,999.9703979492188,16.319856643676758
"12:19:09:46,8",36.50650405883789,22.00735855102539,50.31615447998047,999.82275390625,16.240951538085938
"12:19:09:46,9",36.67069625854492,22.00960922241211,50.309669494628906,999.8245239257812,16.197954177856445
"12:19:09:46,0",36.8208122253418,22.000606536865234,50.30292892456055,999.8121948242188,16.14430046081543
"12:19:09:46,1",36.965049743652344,22.002859115600586,50.295005798339844,1000.0635986328125,16.130136489868164
"12:19:09:46,2",37.12714385986328,22.00960922241211,50.28676986694336,999.7664794921875,16.143138885498047
"12:19:09:46,3",37.286773681640625,22.00960922241211,50.27964782714844,999.9387817382812,16.043987274169922
"12:19:09:46,4",37.448997497558594,22.000606536865234,50.27273941040039,999.79638671875,15.76099681854248
"12:19:09:46,5",37.6128044128418,22.011857986450195,50.26507568359375,999.8016357421875,15.645589828491211
"12:19:09:46,6",37.76198196411133,22.005107879638672,50.25609588623047,999.9000854492188,15.595675468444824
"12:19:09:46,7",37.88102340698242,22.002859115600586,50.24579620361328,999.8825073242188,15.511985778808594
"12:19:09:46,8",37.981407165527344,22.000606536865234,50.23242950439453,999.9440307617188,15.457012176513672
"12:19:09:46,9",38.10200500488281,22.000606536865234,50.21684265136719,999.9827270507812,15.482067108154297
