Time,MF_LF,T_CORI,MF_CORI,RHO_CORI,P_DP,Pin_DP,Pout_DP
1701869001.605556,0.0,25.640432357788086,-0.1813569813966751,105.7218246459961,,1.1632499694824219,1.1632499694824219
1701869001.706295,0.0,25.631223678588867,-0.1810416579246521,105.58008575439453,,1.1632499694824219,1.1632499694824219
1701869001.806925,0.0,25.63352394104004,-0.18082460761070251,105.6578140258789,,1.1632499694824219,1.1632499694824219
1701869001.907543,0.0,25.63352394104004,-0.18030396103858948,105.51759338378906,,1.1632499694824219,1.1632499694824219
1701869002.008392,0.0,25.63582992553711,-0.1803676337003708,105.535888671875,,1.1632499694824219,1.1632499694824219
1701869002.109011,0.0,25.631223678588867,-0.1802440881729126,105.4977798461914,,1.1632499694824219,1.1632499694824219
1701869002.209672,0.0,25.63582992553711,-0.18010571599006653,105.28594207763672,,1.1632499694824219,1.1632499694824219
1701869002.310266,0.0,25.63352394104004,-0.18005488812923431,105.32099151611328,,1.1632499694824219,1.1632499694824219
1701869002.410843,0.0,25.640432357788086,-0.17974700033664703,105.26612854003906,,1.1632499694824219,1.1632499694824219
1701869002.511533,0.0,25.63352394104004,-0.1795695722103119,105.13963317871094,,1.1632499694824219,1.1632499694824219
1701869002.612184,0.0,25.63582992553711,-0.17947857081890106,105.25546264648438,,1.1632499694824219,1.1632499694824219
1701869002.712871,0.0,25.645038604736328,-0.17922019958496094,105.1457290649414,,1.1632499694824219,1.1632499694824219
1701869002.813517,0.0,25.63582992553711,-0.17875544726848602,105.01618957519531,,1.1632499694824219,1.1632499694824219
1701869002.914104,0.0,25.63812828063965,-0.17879831790924072,105.06343841552734,,1.1632499694824219,1.1632499694824219
1701869003.014698,0.0,25.645038604736328,-0.17876113951206207,104.97352600097656,,1.1632499694824219,1.1632499694824219
1701869003.115345,0.0,25.63582992553711,-0.1784246414899826,104.793701171875,,1.1632499694824219,1.1632499694824219
1701869003.215926,0.0,25.640432357788086,-0.17790886759757996,104.85313415527344,,1.1632499694824219,1.1632499694824219
1701869003.316508,0.0,25.63812828063965,-0.17752107977867126,104.7647476196289,,1.1632499694824219,1.1632499694824219
1701869003.417131,0.0,25.63582992553711,-0.1775093376636505,104.59559631347656,,1.1632499694824219,1.1632499694824219
1701869003.517704,0.0,25.63582992553711,-0.1773539036512375,104.54988098144531,,1.1632499694824219,1.1632499694824219
1701869003.618312,0.0,25.645038604736328,-0.17699205875396729,104.47064208984375,,1.1632499694824219,1.1632499694824219
1701869003.718894,0.0,25.63582992553711,-0.17682787775993347,104.35482788085938,,1.1632499694824219,1.1632499694824219
1701869003.819478,0.0,25.640432357788086,-0.17674443125724792,104.44625854492188,,1.1632499694824219,1.1632499694824219
1701869003.920124,0.0,25.63352394104004,-0.17647169530391693,104.28016662597656,,1.1632499694824219,1.1632499694824219
